,RHWI US Equity
2001-01-02,58559.98829
2001-01-03,68159.98637
2001-01-04,73919.98522
2001-01-05,68159.98637
2001-01-08,71999.9856
2001-01-09,73919.98522
2001-01-10,75839.98483
2001-01-11,67199.98656
2001-01-12,70079.98598
2001-01-16,73919.98522
2001-01-17,73919.98522
2001-01-18,68159.98637
2001-01-19,67199.98656
2001-01-22,64799.98704
2001-01-23,62399.98752
2001-01-24,62399.98752
2001-01-25,61439.98771
2001-01-26,62399.98752
2001-01-29,66239.98675
2001-01-30,67199.98656
2001-01-31,65279.98694
2001-02-01,63359.98733
2001-02-02,63359.98733
2001-02-05,63359.98733
2001-02-06,62399.98752
2001-02-07,58559.98829
2001-02-08,61439.98771
2001-02-09,63359.98733
2001-02-12,59519.9881
2001-02-13,60479.9879
2001-02-14,60479.9879
2001-02-15,62399.98752
2001-02-16,61439.98771
2001-02-20,62399.98752
2001-02-21,58559.98829
2001-02-22,52799.98944
2001-02-23,52799.98944
2001-02-26,60479.9879
2001-02-27,57599.98848
2001-02-28,55679.98886
2001-03-01,50879.98982
2001-03-02,57599.98848
2001-03-05,60479.9879
2001-03-06,75839.98483
2001-03-07,71999.9856
2001-03-08,74879.98502
2001-03-09,73919.98522
2001-03-12,69119.98618
2001-03-13,65279.98694
2001-03-14,57599.98848
2001-03-15,67199.98656
2001-03-16,62399.98752
2001-03-19,57599.98848
2001-03-20,55679.98886
2001-03-21,58559.98829
2001-03-22,59999.988
2001-03-23,58559.98829
2001-03-26,47999.9904
2001-03-27,48959.99021
2001-03-28,47999.9904
2001-03-29,45119.99098
2001-03-30,40319.99194
2001-04-02,39359.99213
2001-04-03,39359.99213
2001-04-04,30719.99386
2001-04-05,34559.99309
2001-04-06,31679.99366
2001-04-09,33599.99328
2001-04-10,34559.99309
2001-04-11,32639.99347
2001-04-12,45119.99098
2001-04-16,43199.99136
2001-04-17,40319.99194
2001-04-18,39359.99213
2001-04-19,35519.9929
2001-04-20,33599.99328
2001-04-23,35519.9929
2001-04-24,36479.9927
2001-04-25,33599.99328
2001-04-26,33599.99328
2001-04-27,37439.99251
2001-04-30,35519.9929
2001-05-01,34559.99309
2001-05-02,33599.99328
2001-05-03,35999.9928
2001-05-04,34559.99309
2001-05-07,33599.99328
2001-05-08,32639.99347
2001-05-09,31679.99366
2001-05-10,31679.99366
2001-05-11,32639.99347
2001-05-14,31679.99366
2001-05-15,29759.99405
2001-05-16,29759.99405
2001-05-17,29759.99405
2001-05-18,30719.99386
2001-05-21,31199.99376
2001-05-22,28319.99434
2001-05-23,23999.9952
2001-05-24,21599.99568
2001-05-25,24959.99501
